"Date","Price","Open","High","Low","Vol.","Change %"
"07/01/2012","3,272.06","3,628.80","3,700.72","3,253.93","655.76K","-9.37%"
"06/01/2012","3,610.25","3,896.87","3,919.87","3,523.18","550.58K","-7.40%"
"05/01/2012","3,898.59","3,875.50","3,972.92","3,694.43","854.58K","1.58%"
"04/01/2012","3,837.88","3,562.15","3,938.39","3,555.71","732.83K","7.79%"
"03/01/2012","3,560.49","3,843.99","4,152.02","3,528.67","864.85K","-7.72%"
"02/01/2012","3,858.54","3,399.93","4,003.72","3,375.30","828.92K","13.26%"
"01/01/2012","3,406.68","3,478.34","3,559.31","3,126.58","385.85K","-1.44%"
"12/01/2011","3,456.29","4,278.11","4,319.82","3,300.80","419.71K","-17.00%"
"11/01/2011","4,164.11","4,312.10","4,587.39","4,109.10","650.92K","-4.28%"
"10/01/2011","4,350.13","4,184.09","4,387.01","3,918.86","402.62K","4.21%"
"09/01/2011","4,174.45","4,801.87","4,833.45","4,122.48","439.14K","-13.01%"
"08/01/2011","4,798.73","4,953.59","5,035.78","4,385.51","682.75K","-3.32%"
"07/01/2011","4,963.42","4,885.06","5,257.06","4,880.29","790.32K","1.87%"
"06/01/2011","4,872.27","4,655.28","4,874.48","4,474.58","502.13K","4.52%"
"05/01/2011","4,661.69","5,029.67","5,199.56","4,552.23","517.68K","-7.28%"
"04/01/2011","5,027.55","5,278.53","5,478.36","4,922.74","602.17K","-4.87%"
"03/01/2011","5,285.19","5,351.20","5,523.90","5,249.37","821.61K","-1.16%"
"02/01/2011","5,347.30","4,816.71","5,347.30","4,782.74","460.37K","11.02%"
"01/01/2011","4,816.66","5,179.35","5,263.35","4,342.89","402.27K","-6.57%"
"12/01/2010","5,155.56","5,276.01","5,514.59","4,895.81","510.58K","-2.63%"
"11/01/2010","5,294.70","5,232.57","5,738.79","4,962.94","833.26K","1.60%"
"10/01/2010","5,211.52","4,819.00","5,226.64","4,471.40","558.98K","8.90%"
"09/01/2010","4,785.49","4,761.27","5,001.63","4,642.85","568.03K","0.62%"
"08/01/2010","4,755.85","4,298.68","4,768.08","4,253.97","672.62K","10.63%"
"07/01/2010","4,299.05","3,722.41","4,311.36","2,238.51","472.03K","15.17%"
"06/01/2010","3,732.65","4,108.79","4,333.14","2,124.64","306.60K","-10.06%"
"05/01/2010","4,149.96","4,440.05","4,685.91","3,779.69","380.70K","-8.34%"
"04/01/2010","4,527.76","4,825.02","5,101.70","4,446.61","594.92K","-6.10%"
"03/01/2010","4,822.08","4,656.98","4,822.08","4,468.32","574.31K","3.63%"
"02/01/2010","4,653.34","4,284.35","4,676.42","2,152.81","329.16K","8.46%"
"01/01/2010","4,290.32","4,413.75","4,758.18","2,185.93","522.05K","-2.30%"
"12/01/2009","4,391.28","4,268.19","4,533.17","2,217.17","499.86K","2.98%"
